,link,text,author_name,screen_name,ohi
1221767,https://twitter.com/bannthierry1/status/1625230429505593344,"Crime Has Risen Under The Watch Of Soros-Backed Prosecutors In Six Major Cities https://t.co/asZUEOTSN6 via @dailycaller 

anyone with a half a brain has seen these cities plunge into crime.",Barbara thierry,bannthierry1,0.990291536
1165108,https://twitter.com/SGTreport/status/1624493773320253440,"Biden &amp; his criminal administration will tame inflation once and for all by getting us all killed in WW3.  Great policy.

THE ZIONIST CABAL'S BLOODLUST FOR WW3 -- HARLEY SCHLANGER
https://t.co/mltbZgxM85 https://t.co/3o4vdckyDe",SGTreport,SGTreport,0.990121126
37790,https://twitter.com/SteeringL/status/1625607362160771072,@LetsGoBrando45 The puppet master: A new report exposes how George Soros’ propaganda machine has corrupted the media https://t.co/V3HGHug44W,ProjectBlueBeam 🦅| 🇺🇲,SteeringL,0.990005791
6881,https://twitter.com/DebbieAAldrich/status/1623860014128541696,"We live in an era of Big Brother stripping our rights away!  You are no longer allowed to defend yourself in America, a basic human right! 

The Soros funded far left prosecutors are stripping 
our right to self defense while giving criminals a green light!  

Meanwhile Biden… https://t.co/wXnJurZSi3",Debbie Aldrich 🇺🇸,DebbieAAldrich,0.98998636
874771,https://twitter.com/cgnitmar1/status/1624974002333843456,Exactly as he intended...Crime Has Risen Under The Watch Of Soros-Backed Prosecutors In Six Major Cities https://t.co/O9AF8OnAx6,Connie,cgnitmar1,0.989967108
215099,https://twitter.com/to_the_flag/status/1623201876052434944,"@BrandoSAPUTO @Nutz_88M He, like Joey, is just a puppet for Soros’ evil",I pledge allegiance 🇺🇸⚔️,to_the_flag,0.989889205
1397945,https://twitter.com/Jenny_IDLYITW/status/1625606911650598912,"@DonaldJTrumpJr @NanHayworth Remove Soros funded lawmakers as well (yes, including GOP ones) and ban all globalist NGOs from operating in the USA.",Jenny,Jenny_IDLYITW,0.989810705
109605,https://twitter.com/Guardianangelos/status/1625109098596536320,"@McCamish_UAP Shall we call this latest, totally planned and manufactured #Ukraine fiasco the #RothschildWorldWar?",Guardianangel,Guardianangelos,0.989810705
129953,https://twitter.com/NASM106/status/1625226010353344512,@LastShawnmurai @Keltic_Witch That I would mot doubt. Did you know Soros along with Obama planned the infiltration of the Catholic Church. They pushed out the old Pope and replaced him with a Socialist.,Pasquinal,NASM106,0.989771247
1110094,https://twitter.com/DailyCaller/status/1625092420516954112,Crime Has Risen Under The Watch Of Soros-Backed Prosecutors In Six Major Cities https://t.co/2kw3yWtJ9Y,Daily Caller,DailyCaller,0.989711642
1278114,https://twitter.com/JadeNushuz4me/status/1625192729553604608,"Crime has risen under the watch of Soros-backed prosecutors in six major cities
#DemocratsTurnEverythingToShit https://t.co/nOPuUA2roJ",President Elect Jade,JadeNushuz4me,0.989691794
1099478,https://twitter.com/JewWishAshke/status/1624238485090578432,He is just pathetic. His jewblaming has gone off the rails. https://t.co/snw9Sj27LC,NoShtickJewishChick,JewWishAshke,0.989551365
1005161,https://twitter.com/Catz4maga/status/1625625719903494144,"@Alex_Oloyede2 Grrrrr. There was no reason for things to go this way. Russia could very well have been a great friend to the West. It's only our stupid and greedy political class, captured by the judeo-communists, that has created this useless conflict.","Meow, Or Scratch?",Catz4maga,0.989531159
538271,https://twitter.com/rycunni/status/1624065601906913280,"This hospital is 20 minutes from me.   Justice needs to come quickly and ensure they are held to account.  

Please ensure George Soros funded St. Louis Prosecutor Kim Gardner is no where near this case. https://t.co/XoFha09nAJ",Ryan Cunningham,rycunni,0.989470243
673097,https://twitter.com/jimmyjam30/status/1624971072905875456,@Maldkor @MingoTango @UndeadNutri @Nature_and_Race You can't call yourself the superior race if the jews are always beating you.,Jameson,jimmyjam30,0.989429533
159107,https://twitter.com/zfg_007/status/1624927869955633152,@Captain_Biffhrt @AZgeopolitics Soros sent her there. Soros funds the US democrats especially in regime changes that destroys countries.,ZFG,zfg_007,0.988991857
1138737,https://twitter.com/dullman_nonnie/status/1625535878801113088,"@ClownWorld_ I give you BLACK PRIVILEGE.
Soros is the architect of this, bought and brought you ineffective District Attorney’s that are looking for White People to lynch. Amazing how Democraps don’t change their appetite for lynching people, alls that changed are which innocent people… https://t.co/S3UWNHpCZ8",❌Nonnie Dullman❌,dullman_nonnie,0.988970518
